report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
2013,465514,5876,99,392,3719,1666,1262.3,21.3,84.2,798.9,357.9
2013,1500455,11374,97,705,6500,4072,758.0,6.5,47.0,433.2,271.4
2013,469665,2346,34,103,1091,1118,499.5,7.2,21.9,232.3,238.0
2013,1064190,5323,72,171,3723,1357,500.2,6.8,16.1,349.8,127.5
2013,3878725,16524,251,764,7624,7885,426.0,6.5,19.7,196.6,203.3
2013,671120,3644,48,160,2009,1427,543.0,7.2,23.8,299.4,212.6
2013,657691,10890,125,458,7173,3134,1655.8,19.0,69.6,1090.6,476.5
2013,456155,1807,22,203,1104,478,396.1,4.8,44.5,242.0,104.8
2013,1171120,6057,87,448,3661,1861,517.2,7.4,38.3,312.6,158.9
2013,418394,4945,71,96,2562,2216,1181.9,17.0,22.9,612.3,529.6
2013,600805,8194,104,401,4405,3284,1363.8,17.3,66.7,733.2,546.6
2013,396206,4038,36,385,1761,1856,1019.2,9.1,97.2,444.5,468.4
2013,997082,1687,8,134,787,758,169.2,0.8,13.4,78.9,76.0
2013,635673,6667,35,463,4556,1613,1048.8,5.5,72.8,716.7,253.8
2013,1058467,1394,12,43,633,706,131.7,1.1,4.1,59.8,66.7
2013,377022,2965,156,176,1495,1138,786.4,41.4,46.7,396.5,301.8
2013,8396126,52384,335,1112,31767,19170,623.9,4.0,13.2,378.4,228.3
2013,278246,3516,112,45,926,2433,1263.6,40.3,16.2,332.8,874.4
2013,403887,7984,90,180,2792,4922,1976.8,22.3,44.6,691.3,1218.7
2013,605034,4998,62,450,3295,1191,826.1,10.3,74.4,544.6,196.9
2013,425076,2449,42,184,1505,718,576.1,9.9,43.3,354.1,168.9
2013,253238,2316,17,126,1600,573,914.6,6.7,49.8,631.8,226.3
2013,1553153,17074,247,1279,7986,7562,1099.3,15.9,82.4,514.2,486.9
2013,1502139,9492,118,635,5506,3233,631.9,7.9,42.3,366.5,215.2
2013,307632,2259,45,78,1180,956,734.3,14.6,25.4,383.6,310.8
