report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
1993,407286,6696,50,259,4835,1552,1644.1,12.3,63.6,1187.1,381.1
1993,281336,2259,7,146,1396,710,803,2.5,51.9,496.2,252.4
1993,402877,16281,203,492,9541,6045,4041.2,50.4,122.1,2368.2,1500.5
1993,246610,4457,19,166,3532,740,1807.3,7.7,67.3,1432.2,300.1
1993,502018,3011,37,271,1148,1555,599.8,7.4,54,228.7,309.8
1993,712020,7451,36,281,4827,2307,1046.5,5.1,39.5,677.9,324
1993,732968,21945,353,668,8548,12376,2994,48.2,91.1,1166.2,1688.5
1993,553870,10843,98,480,6184,4081,1957.7,17.7,86.7,1116.5,736.8
1993,324855,6041,76,295,2772,2898,1859.6,23.4,90.8,853.3,892.1
1993,422862,9725,122,356,6020,3227,2299.8,28.9,84.2,1423.6,763.1
1993,2788996,79183,862,3379,39753,35189,2839.1,30.9,121.2,1425.4,1261.7
1993,366591,5621,39,449,2806,2327,1533.3,10.6,122.5,765.4,634.8
1993,505730,8310,167,834,3012,4297,1643.2,33,164.9,595.6,849.7
1993,646933,7146,105,658,2496,3887,1104.6,16.2,101.7,385.8,600.8
1993,1042619,18176,317,1000,9439,7420,1743.3,30.4,95.9,905.3,711.7
1993,498402,5252,74,393,2922,1863,1053.8,14.9,78.9,586.3,373.8
1993,1020062,28358,579,1189,12999,13591,2780,56.8,116.6,1274.3,1332.4
1993,554515,6109,47,281,4220,1561,1101.7,8.5,50.7,761,281.5
1993,836460,920,17,100,343,460,110,2,12,41,55
1993,463373,6979,133,507,3589,2750,1506.1,28.7,109.4,774.5,593.5
1993,379977,5511,87,216,2329,2879,1450.4,22.9,56.9,612.9,757.7
1993,875455,2501,31,286,1099,1085,285.7,3.5,32.7,125.5,123.9
1993,1724327,25069,446,1109,12742,10772,1453.8,25.9,64.3,739,624.7
1993,377723,6292,68,517,3657,2050,1665.8,18,136.9,968.2,542.7
1993,672310,11417,125,699,6989,3604,1698.2,18.6,104,1039.6,536.1
1993,435428,10961,153,515,6402,3891,2517.3,35.1,118.3,1470.3,893.6
1993,717441,7281,91,435,3183,3572,1014.9,12.7,60.6,443.7,497.9
1993,443259,7116,126,200,3073,3717,1605.4,28.4,45.1,693.3,838.6
1993,947137,16054,229,321,10901,4603,1695,24.2,33.9,1150.9,486
1993,3525317,83701,1076,1773,42437,38415,2374.3,30.5,50.3,1203.8,1089.7
1993,618981,10113,198,725,3824,5366,1633.8,32,117.1,617.8,866.9
1993,304695,2335,6,111,1808,410,766.3,2,36.4,593.4,134.6
1993,1103461,20761,183,643,12057,7878,1881.4,16.6,58.3,1092.7,713.9
1993,372519,14502,127,204,7089,7082,3893,34.1,54.8,1903,1901.1
1993,623114,6014,157,424,1411,4022,965.2,25.2,68.1,226.4,645.5
1993,366642,6481,58,518,2727,3178,1767.7,15.8,141.3,743.8,866.8
1993,775718,2110,29,205,1034,842,272,3.7,26.4,133.3,108.5
1993,513648,9164,87,577,5791,2709,1784.1,16.9,112.3,1127.4,527.4
1993,1028280,2117,18,71,899,1129,205.9,1.8,6.9,87.4,109.8
1993,491619,10024,395,298,4152,5179,2039,80.4,60.6,844.6,1053.5
1993,7347257,153543,1946,2818,62778,86001,2089.8,26.5,38.4,854.4,1170.5
1993,269892,10222,96,257,3977,5892,3787.4,35.6,95.2,1473.6,2183.1
1993,377037,9809,154,353,4743,4559,2601.6,40.8,93.6,1258,1209.2
1993,457448,6480,80,515,4161,1724,1416.6,17.5,112.6,909.6,376.9
1993,341499,3899,32,209,2906,752,1141.7,9.4,61.2,851,220.2
1993,176748,4140,15,209,2809,1107,2342.3,8.5,118.3,1589.3,626.3
1993,1559534,19576,439,785,6821,11531,1255.3,28.2,50.3,437.4,739.4
1993,1039369,11911,158,444,7872,3437,1146,15.2,42.7,757.4,330.7
1993,368473,4479,80,226,1389,2784,1215.6,21.7,61.3,377,755.6
1993,454889,8445,58,479,5603,2305,1856.5,12.8,105.3,1231.7,506.7
1993,632201,7905,133,406,3491,3875,1250.4,21,64.2,552.2,612.9
1993,224057,2030,27,94,1114,795,906,12.1,42,497.2,354.8
1993,386732,4850,85,167,2288,2310,1254.1,22,43.2,591.6,597.3
1993,170380,1402,19,204,681,498,822.9,11.2,119.7,399.7,292.3
1993,985456,6725,220,553,2973,2979,682.4,22.3,56.1,301.7,302.3
1993,1160603,13463,133,396,8283,4651,1160,11.5,34.1,713.7,400.7
1993,736377,13365,129,361,4421,8454,1815,17.5,49,600.4,1148.1
1993,809528,5317,41,391,3699,1186,656.8,5.1,48.3,456.9,146.5
1993,531274,7437,67,356,4344,2670,1399.8,12.6,67,817.7,502.6
1993,387053,14998,267,319,8189,6223,3874.9,69,82.4,2115.7,1607.8
1993,1211097,3138,44,65,1332,1697,259.1,3.6,5.4,110,140.1
1993,288877,9379,43,247,6124,2965,3246.7,14.9,85.5,2119.9,1026.4
1993,426344,4363,44,314,3111,894,1023.4,10.3,73.7,729.7,209.7
1993,378350,4921,54,339,3385,1143,1300.7,14.3,89.6,894.7,302.1
1993,423387,1248,22,181,414,631,294.8,5.2,42.8,97.8,149
1993,578000,16888,454,324,9003,7107,2921.8,78.6,56.1,1557.6,1229.6
1993,313597,2743,48,265,1103,1327,874.7,15.3,84.5,351.7,423.2
1994,416917,6707,45,288,4940,1434,1608.7,10.8,69.1,1184.9,344
1994,286748,2443,18,144,1627,654,852,6.3,50.2,567.4,228.1
1994,411204,14684,191,422,8728,5343,3571,46.5,102.6,2122.6,1299.4
1994,252833,3661,15,147,2876,623,1448,5.9,58.1,1137.5,246.4
1994,511676,3249,37,249,1421,1542,635,7.2,48.7,277.7,301.4
1994,717879,7188,31,281,4711,2165,1001.3,4.3,39.1,656.2,301.6
1994,739180,20951,321,637,8718,11275,2834.4,43.4,86.2,1179.4,1525.3
1994,556724,10664,85,453,5881,4245,1915.5,15.3,81.4,1056.4,762.5
1994,324354,6890,90,280,3251,3269,2124.2,27.8,86.3,1002.3,1007.9
1994,527121,9102,87,350,5952,2713,1726.7,16.5,66.4,1129.2,514.7
1994,2802494,78291,938,3048,40380,33925,2793.6,33.5,108.8,1440.9,1210.5
1994,366953,4855,38,382,2304,2131,1323.1,10.4,104.1,627.9,580.7
1994,506230,7744,132,749,2939,3924,1529.7,26.1,148,580.6,775.1
1994,647860,6761,100,679,2383,3599,1043.6,15.4,104.8,367.8,555.5
1994,1062677,16886,295,957,8557,7077,1589,27.8,90.1,805.2,666
1994,511085,4706,81,366,2545,1714,920.8,15.9,71.6,498,335.4
1994,1022283,27471,541,1116,13042,12772,2687.2,52.9,109.2,1275.8,1249.4
1994,565183,5369,44,233,4006,1086,950,7.8,41.2,708.8,192.2
1994,844322,912,19,104,361,428,108,2.3,12.3,42.8,50.7
1994,472288,6035,132,413,3111,2379,1277.8,28,87.5,658.7,503.7
1994,382655,6199,84,192,3113,2810,1620,22,50.2,813.5,734.3
1994,880687,2528,35,266,1169,1058,287.1,4,30.2,132.7,120.1
1994,1758016,22986,375,931,11699,9981,1307.5,21.3,53,665.5,567.7
1994,380302,6467,108,483,3422,2454,1700.5,28.4,127,899.8,645.3
1994,685776,10423,106,648,6242,3427,1519.9,15.5,94.5,910.2,499.7
1994,439089,10693,142,490,6334,3727,2435.3,32.3,111.6,1442.5,848.8
1994,752577,9418,105,574,4934,3805,1251.4,14,76.3,655.6,505.6
1994,446383,6324,80,167,2652,3425,1416.7,17.9,37.4,594.1,767.3
1994,953814,15078,209,263,10511,4095,1580.8,21.9,27.6,1102,429.3
1994,3550381,73102,845,1554,39886,30817,2059,23.8,43.8,1123.4,868
1994,628375,9855,159,695,4013,4988,1568.3,25.3,110.6,638.6,793.8
1994,315456,2364,17,120,1820,407,749.4,5.4,38,576.9,129
1994,1125748,19518,162,730,11605,7021,1733.8,14.4,64.9,1030.9,623.7
1994,379980,12971,116,221,6793,5841,3413.6,30.5,58.2,1787.7,1537.2
1994,628737,6562,139,429,1977,4017,1043.7,22.1,68.2,314.4,638.9
1994,370834,7074,62,578,2990,3444,1907.6,16.7,155.9,806.3,928.7
1994,781306,2146,34,193,1050,869,274.7,4.4,24.7,134.4,111.2
